,accession,deepwalk_embedding
25002,P34968,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
19654,P08909,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
30763,O70212,"[ 1.4885992e-01 -4.4822413e-02 -9.5769063e-02  1.5208323e-01
  1.4443347e-01  2.9640570e-01 -1.2189910e-01  1.5949890e-02
  4.4707689e-01 -1.2804694e-01  1.2236437e-01  6.1714500e-02
 -1.4903197e-01 -1.3511080e-01  3.3592281e-01  1.7964225e-01
  2.0024644e-01  3.0562976e-01  2.8006962e-01  6.9091059e-02
  9.1513671e-02  6.8600692e-02  2.3355038e-01 -1.5119539e-01
 -2.2255465e-02 -2.9517004e-01  1.0521465e-01 -2.9961407e-01
  1.4906824e-01 -1.3488853e-01  2.8359205e-01 -2.7215430e-01
 -7.0817351e-02 -9.7050339e-02  3.2408836e-01 -2.3043919e-01
  3.0466622e-01  3.7135097e-01  3.6035880e-01  6.0047656e-02
 -2.7198902e-01 -1.8318143e-01 -3.7013265e-01  1.7574008e-01
  3.4490239e-02 -6.1281420e-02  2.5725171e-01  3.1132236e-01
  4.5338169e-02  1.2601121e-01 -1.0251028e-01 -1.3067053e-01
 -6.1025716e-02  7.8776091e-02  2.4090835e-01 -1.4555955e-01
  2.4396004e-03  3.1541628e-01  1.3475513e-01 -3.4281200e-01
  1.0070422e-02  2.5442347e-01 -2.1130928e-01  5.2608928e-04
 -3.9671935e-04  2.0120500e-01 -2.1279511e-01  2.0241347e-01
 -7.2986148e-02  3.2155052e-01  1.0298865e-01  3.0397999e-01
 -8.5235931e-02  1.3879393e-01 -1.8473934e-01 -1.2179571e-01
 -1.1240988e-01 -1.5233211e-01  1.5626435e-01  9.7220831e-02
  2.3241459e-01 -6.3345641e-02 -2.0875648e-01 -1.3911003e-01
  1.1688970e-01  1.2538420e-01  2.2467798e-01  2.4526313e-01
 -5.4722682e-02  7.8617357e-02 -3.5515711e-01  8.6379133e-02
 -1.4500920e-01 -1.0224521e-01  8.7448455e-02 -4.9823530e-02
  1.4942470e-01 -8.0630638e-02 -2.6679102e-01 -2.4857882e-01
 -2.4855238e-01 -9.2454575e-02 -1.1042840e-01 -1.4920677e-01
  3.1122535e-02 -2.2706306e-01 -1.0251089e-01  2.0558266e-02
 -1.2713709e-01  6.8766013e-02  2.0393354e-01 -9.0683930e-02
  1.5516861e-02  2.8614759e-01  5.8337491e-02 -1.3385688e-01
  1.5912323e-01  3.4349534e-01 -4.0606577e-02  9.7926117e-02
  1.4009920e-01 -4.4863257e-01  8.6824179e-02 -2.0770012e-01
  1.7404756e-01 -2.3022775e-02 -2.1395098e-02  2.5331822e-01]"
14996,P46098,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
29394,P35563,"[ 1.10105187e-01 -5.76854013e-02 -1.74121439e-01  1.46104664e-01
  1.23233184e-01  2.66524434e-01 -1.23705007e-01 -1.06914006e-02
  4.36178118e-01 -2.00647831e-01  8.44300240e-02  5.29421531e-02
 -1.56847909e-01 -9.95266512e-02  2.15935394e-01  2.12273464e-01
  2.27285713e-01  2.55968094e-01  2.92733729e-01  6.07682951e-02
  1.56586245e-01  2.61991695e-02  1.94498181e-01 -9.02080014e-02
  2.18143947e-02 -2.65935361e-01 -3.01486608e-02 -2.29290411e-01
  8.02792907e-02 -1.23225808e-01  3.05503339e-01 -1.58299819e-01
 -1.24885269e-01 -7.60385841e-02  3.29059362e-01 -2.10878253e-01
  2.87960023e-01  4.01331544e-01  2.15478733e-01  7.05596432e-02
 -2.50709832e-01 -1.22171745e-01 -2.72550911e-01  1.50584817e-01
  9.83350445e-03  2.59603821e-02  2.56967038e-01  3.47620368e-01
  8.92078653e-02  3.33101079e-02 -4.21587192e-02 -1.68286011e-01
 -5.78231737e-02  1.34420604e-01  1.97983295e-01 -1.22631662e-01
 -3.55290278e-04  2.39514410e-01  1.71378285e-01 -2.70195633e-01
 -1.44045090e-03  1.33939892e-01 -1.34923056e-01 -6.64472580e-03
  5.68619333e-02  1.95634544e-01 -2.22298726e-01  2.25751042e-01
 -1.37055859e-01  2.23160207e-01  4.65967432e-02  1.91364393e-01
 -4.18865010e-02  1.96917489e-01 -1.60855442e-01 -2.29853868e-01
 -5.53968586e-02 -1.09769449e-01  1.23463064e-01  1.29526898e-01
  2.68651724e-01 -4.92078401e-02 -1.70243651e-01 -7.22207278e-02
  1.82128370e-01  1.34335130e-01  1.61370337e-01  1.85677037e-01
 -5.13189025e-02  1.08613737e-01 -3.42830449e-01  6.83220997e-02
 -1.18407398e-01 -6.58455193e-02  1.76821172e-01  3.24076451e-02
  8.10950175e-02 -4.22052778e-02 -2.32270241e-01 -1.73024073e-01
 -1.46289542e-01 -6.73474669e-02 -1.20800145e-01 -1.40159160e-01
  4.03789803e-02 -1.44001424e-01 -1.02155298e-01  2.37186980e-02
 -4.09335271e-02  7.22729564e-02  2.44775116e-01 -1.10781334e-01
 -2.18579248e-02  2.07173213e-01  5.28927445e-02 -1.26722649e-01
  1.19846337e-01  3.56341988e-01 -7.13752061e-02 -1.27027426e-02
  1.04631148e-01 -2.74360359e-01  3.93026657e-02 -1.37550294e-01
  9.72261354e-02  1.29078887e-02 -1.01800938e-03  3.29964578e-01]"
29446,O95264,"[ 1.09713718e-01 -5.77983297e-02 -1.73627809e-01  1.45810843e-01
  1.23085529e-01  2.66166717e-01 -1.22993626e-01 -1.08239008e-02
  4.34944063e-01 -2.00387046e-01  8.38288218e-02  5.29568046e-02
 -1.55988038e-01 -9.94608328e-02  2.15414092e-01  2.11718038e-01
  2.26287261e-01  2.55481154e-01  2.92588592e-01  6.05152100e-02
  1.56163082e-01  2.66660843e-02  1.94000974e-01 -9.01978835e-02
  2.15806160e-02 -2.65149057e-01 -2.93652099e-02 -2.28400365e-01
  7.98642933e-02 -1.23064257e-01  3.04665387e-01 -1.58174619e-01
 -1.25102460e-01 -7.59290382e-02  3.28495950e-01 -2.10676655e-01
  2.87896723e-01  4.00823236e-01  2.15463474e-01  7.02273175e-02
 -2.50628918e-01 -1.21484160e-01 -2.72114456e-01  1.50536478e-01
  9.98868048e-03  2.55795587e-02  2.57001519e-01  3.47255230e-01
  8.88816863e-02  3.37934978e-02 -4.16553319e-02 -1.68676227e-01
 -5.79381436e-02  1.34053946e-01  1.97195455e-01 -1.22210160e-01
  2.10323575e-04  2.39612415e-01  1.71147004e-01 -2.69494474e-01
 -1.91119220e-03  1.33861169e-01 -1.35210976e-01 -6.09845854e-03
  5.66931255e-02  1.95344523e-01 -2.22306550e-01  2.25178912e-01
 -1.36994958e-01  2.22938344e-01  4.59881797e-02  1.91412449e-01
 -4.16895896e-02  1.96701318e-01 -1.60603404e-01 -2.29998320e-01
 -5.57616763e-02 -1.10273823e-01  1.23310059e-01  1.29192963e-01
  2.68476665e-01 -4.96569835e-02 -1.70337662e-01 -7.15909824e-02
  1.81927741e-01  1.34074688e-01  1.61250859e-01  1.85700074e-01
 -5.15116416e-02  1.08478941e-01 -3.43058854e-01  6.84103593e-02
 -1.18405044e-01 -6.58728853e-02  1.76759675e-01  3.28786038e-02
  8.11884329e-02 -4.29512188e-02 -2.33789191e-01 -1.74565241e-01
 -1.47298694e-01 -6.74890503e-02 -1.21997759e-01 -1.41317949e-01
  4.08011191e-02 -1.45087868e-01 -1.02899447e-01  2.34048143e-02
 -4.09761481e-02  7.23777488e-02  2.46379361e-01 -1.11802422e-01
 -2.22764704e-02  2.08064675e-01  5.27924374e-02 -1.27660364e-01
  1.20901898e-01  3.58600736e-01 -7.18912631e-02 -1.26740159e-02
  1.05700940e-01 -2.76032865e-01  3.95671129e-02 -1.38468578e-01
  9.77740735e-02  1.29770869e-02 -1.60595181e-03  3.32117349e-01]"
8321,Q9JHJ5,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
28239,Q8WXA8,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
21009,Q70Z44,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
24124,A5X5Y0,"[ 0.11039463 -0.05780668 -0.17426518  0.14651372  0.12328971  0.26682422
 -0.12345568 -0.01064687  0.43258345 -0.1989186   0.08351707  0.05239075
 -0.15575369 -0.09868569  0.2143258   0.21072915  0.22559713  0.25383496
  0.2900446   0.06024753  0.1552653   0.02586653  0.19291516 -0.08987292
  0.02167042 -0.2639178  -0.0298456  -0.22767605  0.07973295 -0.12215745
  0.30316564 -0.15702602 -0.12348846 -0.0751732   0.3256538  -0.20903336
  0.2847118   0.39671254  0.21308675  0.06978326 -0.24806926 -0.12087951
 -0.26955277  0.14898962  0.00976631  0.02547343  0.25417778  0.34383503
  0.08824336  0.03289207 -0.04177263 -0.1663692  -0.05715579  0.13308387
  0.1959172  -0.12114836 -0.00046026  0.2368365   0.16943166 -0.26744014
 -0.00146024  0.13248453 -0.1338376  -0.0066098   0.05678686  0.1952507
 -0.22152638  0.22534218 -0.13667965  0.22250804  0.0466435   0.19090013
 -0.04156272  0.19633198 -0.16028604 -0.22911385 -0.05504001 -0.10924806
  0.12318294  0.1291594   0.26797596 -0.04900628 -0.16993205 -0.07203801
  0.18118538  0.13392411  0.16076064  0.18512668 -0.05150303  0.10894125
 -0.3437964   0.06851432 -0.11887672 -0.0658959   0.17748281  0.03229323
  0.0828744  -0.0429554  -0.2366859  -0.17645884 -0.14923118 -0.06856287
 -0.12303698 -0.1426606   0.04066669 -0.14559683 -0.10311481  0.02407397
 -0.0415315   0.07328447  0.24736798 -0.11182548 -0.02202198  0.20937029
  0.05338736 -0.12804613  0.1211727   0.36005914 -0.07218383 -0.01271386
  0.10590146 -0.2773069   0.03965525 -0.139052    0.09827249  0.01280842
 -0.00094184  0.33350214]"
19193,Q13639,"[ 0.14790922 -0.04464796 -0.09529051  0.15132521  0.14345443  0.2949069
 -0.12099289  0.0157267   0.44920227 -0.12868208  0.12267262  0.06201254
 -0.15006842 -0.13588697  0.33708528  0.18081483  0.20129113  0.30695984
  0.2816488   0.06968033  0.09206153  0.0691034   0.23472315 -0.1518861
 -0.02255368 -0.29659978  0.1054139  -0.30095795  0.14957237 -0.1356984
  0.28542972 -0.2732868  -0.07156965 -0.09773564  0.32589403 -0.23197295
  0.30676526  0.37350577  0.36230546  0.0608115  -0.2737559  -0.18429898
 -0.37242946  0.17677192  0.03468598 -0.06166976  0.258938    0.31333598
  0.04572013  0.12673177 -0.10297187 -0.13144837 -0.06154056  0.0793832
  0.24198306 -0.14625572  0.0023495   0.31739035  0.1354912  -0.3447026
  0.01003696  0.2557892  -0.21261254  0.00050052 -0.00052499  0.20149888
 -0.21327001  0.202896   -0.07323204  0.3219142   0.10301224  0.30451715
 -0.08462252  0.13819806 -0.18370146 -0.12151621 -0.11161353 -0.15155868
  0.15537962  0.0964242   0.23126388 -0.06318004 -0.20740663 -0.13794029
  0.11613861  0.12460473  0.22315241  0.2436768  -0.05475969  0.07869828
 -0.35486263  0.08611703 -0.14469737 -0.10213481  0.08752499 -0.04971377
  0.14996323 -0.08071809 -0.2678305  -0.24974886 -0.24930504 -0.09275293
 -0.11104593 -0.14991085  0.03125878 -0.22812967 -0.10286827  0.02077062
 -0.12782143  0.06927465  0.2048878  -0.09124921  0.01557095  0.28697434
  0.05826757 -0.13445082  0.15980406  0.3452214  -0.04067513  0.09814595
  0.14023212 -0.44747946  0.08648518 -0.2070474   0.17387931 -0.02326798
 -0.02160752  0.25306   ]"
6346,Q62758,"[ 0.10868047 -0.05687461 -0.17164403  0.14412564  0.12144949  0.26290038
 -0.12158482 -0.01048966  0.43006164 -0.19786392  0.08286819  0.0520875
 -0.15490958 -0.09815374  0.21296579  0.20961799  0.22434483  0.25233233
  0.28844577  0.05986901  0.15455183  0.02569639  0.19194585 -0.08931863
  0.02148341 -0.2624308  -0.02968723 -0.2262586   0.07931568 -0.12143328
  0.3016041  -0.15622249 -0.12479565 -0.07606344  0.3288125  -0.21108589
  0.287595    0.40055835  0.21521576  0.07065131 -0.2504009  -0.12213581
 -0.27211317  0.15052393  0.00988556  0.02581366  0.25688285  0.34743863
  0.08911635  0.03314802 -0.0421666  -0.16801646 -0.05772353  0.1345307
  0.19789675 -0.12236518 -0.00063371  0.23918043  0.17125118 -0.27002767
 -0.00138597  0.13378009 -0.13516578 -0.00664161  0.05689674  0.19618893
 -0.2227346   0.22670707 -0.13756672  0.22380373  0.04698422  0.19202287
 -0.04181353  0.1976495  -0.16119651 -0.23049064 -0.05531584 -0.10998035
  0.12388156  0.12987055  0.27058208 -0.04949304 -0.17145923 -0.0727267
  0.18303216  0.13534823  0.16221426  0.1868437  -0.05167501  0.10933729
 -0.3447323   0.06861876 -0.11925708 -0.0660352   0.17791745  0.03235879
  0.08263153 -0.0427426  -0.235969   -0.17600442 -0.14880176 -0.06844387
 -0.12265304 -0.14223768  0.04081535 -0.14629544 -0.10363851  0.02437367
 -0.04189265  0.07380826  0.24856865 -0.11233468 -0.02215728  0.21033385
  0.05355893 -0.12866175  0.12176654  0.3617588  -0.07245758 -0.01276785
  0.10646224 -0.27859527  0.03975191 -0.13963175  0.09868546  0.01284395
 -0.00099752  0.33519349]"
20048,P47898,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0.]"
15402,P35364,"[ 0.10891964 -0.05707652 -0.17197403  0.14460269  0.12168493  0.2633136
 -0.12186359 -0.01053396  0.43079236 -0.19810131  0.08320444  0.05219158
 -0.15506235 -0.09827136  0.21344417  0.20979898  0.22464532  0.25277188
  0.28884134  0.06000381  0.15461221  0.02577531  0.19208671 -0.08947623
  0.02157331 -0.26281333 -0.02971239 -0.22669618  0.07939438 -0.12162477
  0.30185726 -0.15634519 -0.12334011 -0.07510604  0.32526693 -0.20870967
  0.28442445  0.39629972  0.2128679   0.0697507  -0.247781   -0.12070975
 -0.26922065  0.14881463  0.0097869   0.02547115  0.2538877   0.34345463
  0.08812814  0.03283086 -0.04172089 -0.16618957 -0.05708586  0.13291846
  0.19570574 -0.12100211 -0.00046618  0.23655874  0.16925494 -0.26702273
 -0.00145379  0.13230409 -0.13356592 -0.00660859  0.05733929  0.19735135
 -0.2239885   0.22784775 -0.13818087  0.22499765  0.04721896  0.19295551
 -0.04198336  0.198207   -0.16180034 -0.23122169 -0.05556622 -0.11027443
  0.12427846  0.13035604  0.27045524 -0.04943098 -0.17144793 -0.07275289
  0.18298134  0.13521549  0.16223344  0.18677376 -0.05217435  0.11039018
 -0.34819892  0.06935139 -0.1204283  -0.06676115  0.1796693   0.03268615
  0.08330503 -0.04311235 -0.23795912 -0.17732085 -0.15001853 -0.06902123
 -0.1236832  -0.14343055  0.04118107 -0.14743325 -0.10446381  0.02447723
 -0.04215269  0.07427815  0.250586   -0.1132372  -0.02231006  0.21211359
  0.05412894 -0.1297222   0.12272605  0.36470193 -0.07312723 -0.012892
  0.10720379 -0.28086835  0.04014054 -0.14080288  0.09952307  0.01305407
 -0.00091032  0.3378261 ]"
9512,P31387,"[ 1.56145871e-01 -4.68769521e-02 -1.00265980e-01  1.59569070e-01
  1.50011271e-01  3.08155060e-01 -1.26897573e-01  1.67214032e-02
  4.60522145e-01 -1.31632969e-01  1.26128897e-01  6.35791495e-02
 -1.53780013e-01 -1.39171317e-01  3.45866352e-01  1.84964731e-01
  2.03750268e-01  3.10775816e-01  2.84718215e-01  7.03871027e-02
  9.29588526e-02  6.97345957e-02  2.37438709e-01 -1.53784990e-01
 -2.23087557e-02 -2.95485020e-01  1.05166554e-01 -2.99924880e-01
  1.49266690e-01 -1.34990737e-01  2.83876598e-01 -2.72361219e-01
 -7.04434142e-02 -9.67544019e-02  3.22659969e-01 -2.29480863e-01
  3.03391635e-01  3.69681448e-01  3.58813733e-01  6.00104965e-02
 -2.66957194e-01 -1.79809734e-01 -3.63263816e-01  1.72407895e-01
  3.39236632e-02 -6.02119453e-02  2.52487004e-01  3.05503875e-01
  4.45015505e-02  1.23670273e-01 -1.00655861e-01 -1.28187358e-01
 -5.98944575e-02  7.73036405e-02  2.36459032e-01 -1.42839894e-01
  2.33295187e-03  3.09579074e-01  1.32290334e-01 -3.36445123e-01
  9.87228192e-03  2.49740094e-01 -2.07398847e-01  4.50394989e-04
 -5.68995601e-04  2.00409248e-01 -2.12010235e-01  2.01722562e-01
 -7.26111829e-02  3.20347130e-01  1.02667443e-01  3.02750677e-01
 -8.52222517e-02  1.38769284e-01 -1.84820578e-01 -1.21629491e-01
 -1.12316266e-01 -1.52192995e-01  1.56207100e-01  9.70673710e-02
  2.32299209e-01 -6.32392988e-02 -2.08632767e-01 -1.39074519e-01
  1.17017791e-01  1.25598446e-01  2.25109443e-01  2.45688006e-01
 -5.50115742e-02  7.91579038e-02 -3.57156754e-01  8.68359283e-02
 -1.45869121e-01 -1.02822408e-01  8.78093094e-02 -5.02050444e-02
  1.51742235e-01 -8.17037299e-02 -2.70575851e-01 -2.52200127e-01
 -2.52061069e-01 -9.37380046e-02 -1.11872643e-01 -1.51408255e-01
  3.13515514e-02 -2.29781479e-01 -1.03646383e-01  2.09637880e-02
 -1.28839374e-01  6.97365180e-02  2.06307128e-01 -9.16668177e-02
  1.57797821e-02  2.89489985e-01  5.89591973e-02 -1.35398299e-01
  1.60932302e-01  3.47597480e-01 -4.09147553e-02  9.90641341e-02
  1.41415715e-01 -4.52743828e-01  8.75045881e-02 -2.09472999e-01
  1.75761476e-01 -2.34614853e-02 -2.14683320e-02  2.55615473e-01]"
11117,P35365,"[ 0.1096713  -0.05751355 -0.17321296  0.14563772  0.12259272  0.26522702
 -0.12276398 -0.0105878   0.4341239  -0.19963671  0.08385478  0.05261825
 -0.15620546 -0.09901515  0.21514359  0.21141542  0.22641976  0.254794
  0.29107076  0.06042246  0.15585306  0.02597931  0.19361587 -0.09017238
  0.02177685 -0.26488876 -0.0299085  -0.22842184  0.08001939 -0.1225443
  0.30413568 -0.15761352 -0.12435273 -0.07577823  0.32812065 -0.21049216
  0.28693214  0.39976925  0.21476892  0.07042027 -0.24987908 -0.12178644
 -0.2715379   0.1500511   0.00991529  0.02571294  0.25614104  0.34646964
  0.08889704  0.03308037 -0.04208674 -0.1676306  -0.05752448  0.13406889
  0.19750161 -0.12208992 -0.00050925  0.23863812  0.17079486 -0.2693631
 -0.00144287  0.13350567 -0.13469008 -0.00667181  0.0566889   0.1951028
 -0.22143084  0.22522004 -0.13659394  0.22239931  0.04659168  0.1907797
 -0.04158092  0.19628605 -0.16025592 -0.2290298  -0.05506936 -0.10929108
  0.12310849  0.12912661  0.26946965 -0.04928913 -0.17085816 -0.07240251
  0.1823297   0.1346672   0.16167386  0.1862209  -0.05144724  0.10881916
 -0.3434423   0.06845517 -0.11873293 -0.06585556  0.17722173  0.03230849
  0.08207682 -0.0426349  -0.23463495 -0.17489728 -0.14790067 -0.06794029
 -0.12198407 -0.14143704  0.04065551 -0.14541945 -0.10304725  0.02401158
 -0.04148949  0.07312496  0.24707684 -0.1117674  -0.02202983  0.20911756
  0.05329331 -0.12786421  0.12102313  0.3596155  -0.07213735 -0.0126833
  0.1057447  -0.27693287  0.03961758 -0.1389213   0.09809593  0.01289502
 -0.00097826  0.3331272 ]"
8909,P50406,"[ 0.11070933 -0.05803031 -0.17482685  0.14694688  0.12376468  0.26766005
 -0.12397563 -0.01067642  0.4381857  -0.20154198  0.08465362  0.05305845
 -0.15767771 -0.09989937  0.21713835  0.21335393  0.22876516  0.257403
  0.29406872  0.0610443   0.15746225  0.02617794  0.19562575 -0.09104218
  0.02204283 -0.2676133  -0.03023434 -0.23074876  0.08089457 -0.12380582
  0.30727744 -0.15920416 -0.12469853 -0.07595643  0.32894728 -0.21101974
  0.28763556  0.4007756   0.2152826   0.07054837 -0.2505317  -0.12206163
 -0.27222517  0.15048128  0.00988551  0.02579887  0.256773    0.34736106
  0.08912577  0.03316015 -0.0422012  -0.16810378 -0.05770017  0.13442136
  0.19795763 -0.12239131 -0.00051953  0.23922959  0.17121549 -0.27002835
 -0.00141062  0.133779   -0.13503717 -0.00669448  0.05683609  0.19557759
 -0.22196892  0.22574356 -0.13696481  0.22295968  0.04673271  0.19127099
 -0.04168933  0.19680406 -0.16063887 -0.22963299 -0.05522774 -0.10956315
  0.12340168  0.12948473  0.26855883 -0.04909336 -0.17026044 -0.07218323
  0.18170106  0.13423032  0.16110517  0.18550661 -0.05128091  0.10841738
 -0.34226555  0.06821741 -0.11835032 -0.0656018   0.17661914  0.03222371
  0.08049837 -0.04186016 -0.23013404 -0.17160109 -0.14505693 -0.0665542
 -0.11966807 -0.13875318  0.03984711 -0.14266165 -0.10104275  0.02348221
 -0.04059266  0.07169046  0.2423265  -0.10960043 -0.02159183  0.20504542
  0.05224395 -0.12544371  0.1187121   0.35275933 -0.0707494  -0.01245117
  0.10375502 -0.27160576  0.03884964 -0.13623963  0.09622426  0.01258127
 -0.00098311  0.32673094]"
